,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
0,39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40
1,50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13
2,38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40
3,53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40
5,37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40
6,49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16
7,52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45
8,31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50
9,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40
10,37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80
11,30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40
12,23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30
13,32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50
16,25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35
18,38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50
19,43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45
20,40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60
21,54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20
22,35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40
23,43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40
24,59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40
25,56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40
26,19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40
27,54,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60
28,39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80
29,49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
30,23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52
32,45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40
33,30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40
34,22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15
35,48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40
38,31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,38
40,31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43
41,53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
42,24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50
43,49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40
45,57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40
46,53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38
47,44,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40
49,29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43
50,25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40
51,18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30
52,47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60
53,50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55
55,43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40
56,46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
57,35,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40
58,41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,48
59,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
60,30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40
62,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40
63,42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45
68,49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50
71,31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,40
72,29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70
73,23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40
74,79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20
75,27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40
76,40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40
77,67,?,10th,Married-civ-spouse,?,Husband,White,Male,2
78,18,Private,11th,Never-married,Other-service,Own-child,White,Female,22
80,18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,30
81,52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,40
82,46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40
84,44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40
85,53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,35
87,33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50
88,30,Private,9th,Never-married,Sales,Not-in-family,White,Male,40
89,43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,50
90,57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
91,37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,40
92,28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,25
93,30,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35
94,34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40
95,29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,50
99,32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,40
100,76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40
101,44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60
102,47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50
103,20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40
104,29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40
105,32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
106,17,?,10th,Never-married,?,Own-child,White,Female,32
107,30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40
108,31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40
109,42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40
110,24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,40
111,38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
112,56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,50
113,28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,25
114,36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40
115,53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50
117,49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,40
118,55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,56
119,22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,41
120,21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40
121,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60
125,47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40
126,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,28
128,35,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40
129,39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40
131,24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40
132,38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35
133,37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50
134,46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,36
135,38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
136,43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60
137,27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,35
138,20,Private,Some-college,Never-married,Sales,Own-child,White,Male,20
139,49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40
140,61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
142,19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30
143,45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40
144,70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,40
145,31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,30
