,dysp
0,0
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,0
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,0
615,1
616,0
617,0
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,1
627,1
628,0
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,0
640,1
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,1
689,0
690,0
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,0
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,0
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,1
735,1
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,0
782,1
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,1
804,1
805,0
806,1
807,1
808,0
809,1
810,1
811,1
812,1
813,1
814,0
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,0
823,1
824,0
825,1
826,1
827,1
828,0
829,1
830,1
831,0
832,1
833,1
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,1
842,1
843,1
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,1
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,0
862,0
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,1
888,1
889,0
890,0
891,1
892,1
893,0
894,1
895,1
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,0
944,0
945,0
946,1
947,1
948,1
949,1
950,0
951,1
952,0
953,0
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,1
976,1
977,0
978,1
979,0
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,0
988,0
989,1
990,1
991,1
992,1
993,0
994,0
995,0
996,1
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
