,income
39100,<=50K
43963,<=50K
47,<=50K
4368,>50K
5350,<=50K
21570,<=50K
30675,<=50K
34673,<=50K
14958,>50K
35692,>50K
24828,<=50K
22683,<=50K
15583,<=50K
8234,>50K
25906,>50K
21591,<=50K
38074,<=50K
12007,<=50K
2815,<=50K
17622,>50K
40173,<=50K
48385,>50K
17317,<=50K
19789,>50K
1214,<=50K
3750,<=50K
28284,<=50K
22748,>50K
29237,<=50K
581,>50K
25401,<=50K
46757,<=50K
43526,<=50K
2433,>50K
37354,<=50K
35726,<=50K
179,<=50K
20844,<=50K
26456,<=50K
12105,<=50K
35112,<=50K
779,<=50K
40542,<=50K
37818,>50K
2643,>50K
44437,<=50K
20642,>50K
22382,<=50K
44355,<=50K
11946,<=50K
12770,>50K
22007,<=50K
17688,<=50K
11418,<=50K
572,<=50K
10516,<=50K
43377,<=50K
31173,<=50K
24949,<=50K
32075,<=50K
23181,>50K
33089,<=50K
25212,<=50K
36671,<=50K
14772,<=50K
7237,<=50K
37350,<=50K
20850,>50K
4086,<=50K
19916,<=50K
37988,>50K
8370,>50K
42386,<=50K
2926,<=50K
11613,>50K
24034,>50K
22369,>50K
15166,<=50K
33908,<=50K
45058,<=50K
15134,<=50K
7059,<=50K
29365,<=50K
39723,<=50K
32477,<=50K
35552,<=50K
44591,<=50K
39122,<=50K
12333,<=50K
44037,<=50K
45462,>50K
5143,<=50K
12966,<=50K
31042,>50K
7858,<=50K
40053,>50K
9438,<=50K
38890,>50K
27789,>50K
9548,<=50K
