,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
85204,0.090433021,56,3,0.069981761,20833.0,13,0,0,0,1.0
1068,0.030761368,62,0,0.015661446,3000.0,5,0,1,0,0.0
82865,0.534575308,56,0,0.111148142,6000.0,3,0,1,0,1.0
72306,0.11083647,31,0,1.301340861,2833.0,8,0,2,0,0.0
83787,0.644921637,45,2,0.825604021,12333.0,18,0,4,0,2.0
64933,0.763209472,40,0,0.538416764,1717.0,8,0,0,0,1.0
148773,0.469126358,57,0,0.288051029,15833.0,8,0,2,0,0.0
65495,0.065947421,67,0,0.228514324,1500.0,9,0,0,0,0.0
74953,0.368817783,59,0,0.412025492,3608.0,6,1,0,0,0.0
39372,0.767295597,46,1,0.62190984,8251.0,8,0,3,0,2.0
38166,0.134865135,48,0,0.001142531,3500.0,1,0,0,0,1.0
82530,0.461054962,47,0,0.254061775,5600.0,7,0,1,0,4.0
79886,0.201865423,23,0,0.005863956,2557.0,2,0,0,0,0.0
125827,0.011234799,94,0,0.001714122,10500.0,14,0,0,0,0.0
120414,0.009797732,54,0,0.002291189,4800.0,5,0,0,0,0.0
118081,0.219904204,43,0,0.236111111,11015.0,12,0,1,0,2.0
103279,0.851663215,44,0,1.325812461,4830.0,16,0,2,0,3.0
6669,0.935706429,47,2,0.188968505,6000.0,4,2,0,0,0.0
59012,0.632867632,62,0,0.605239476,10000.0,9,0,2,0,0.0
43825,0.950107818,62,0,0.478193748,2590.0,8,1,0,0,0.0
50615,0.0,54,0,0.0,5172.0,1,0,0,0,0.0
63799,0.142778238,72,1,0.562010267,3700.0,14,0,2,0,0.0
120748,0.126873127,65,0,0.61858915,5400.0,6,0,2,0,1.0
80796,0.660539974,58,0,0.408775609,6198.0,6,0,0,0,0.0
89493,0.001395268,80,0,0.0,2232.0,1,0,0,0,0.0
14133,0.018560884,42,0,0.294142155,12000.0,12,0,1,0,3.0
124789,0.773409075,40,0,0.317706973,7657.0,14,1,0,0,0.0
16304,0.9999999,43,0,0.014280262,31441.0,1,0,0,1,2.0
82561,0.037641417,67,1,0.299874003,16666.0,20,0,3,0,0.0
8903,0.021047285,52,0,0.006963042,5600.0,6,0,0,0,1.0
2229,0.0,43,1,0.260749173,13000.0,15,0,2,0,2.0
73029,0.952095808,26,0,0.032989004,3000.0,3,0,0,0,0.0
76689,0.453801031,66,1,0.919360213,3000.0,19,0,4,0,0.0
44041,0.216810084,63,0,0.30940967,7300.0,11,0,1,0,0.0
50255,0.986473241,35,0,0.423319489,6500.0,9,0,1,0,2.0
137095,0.184539383,63,0,0.523856095,14314.0,22,0,7,0,0.0
129422,0.14965669,78,0,0.031148303,2150.0,3,0,0,0,0.0
147404,0.230760937,70,0,0.387867822,10500.0,23,0,2,0,0.0
