,SeriousDlqin2yrs
85204,0
1068,0
82865,0
72306,0
83787,0
64933,0
148773,0
65495,0
74953,0
39372,0
38166,0
82530,0
79886,0
125827,0
120414,0
118081,0
103279,0
6669,0
59012,0
43825,0
50615,0
63799,0
120748,0
80796,0
89493,0
14133,0
124789,0
16304,0
82561,0
8903,0
2229,0
73029,0
76689,0
44041,0
50255,0
137095,0
129422,0
147404,0
30035,0
149130,0
44929,0
49590,0
87353,0
22453,0
40867,0
41779,0
41556,0
100216,0
62216,0
53163,0
73508,0
15755,0
5329,0
5846,0
61490,0
3068,0
74491,0
92834,0
63066,0
108362,0
133881,0
18166,0
49028,0
59424,0
113339,0
11593,0
129048,0
137550,1
55613,0
98563,0
68129,0
35157,0
132188,0
31571,0
143370,0
125290,0
53179,0
111938,0
10766,0
32060,1
83603,0
45497,0
11568,0
118514,0
115614,0
97707,0
147258,0
64112,0
82772,0
62012,0
129863,0
104819,0
114291,0
8496,0
63861,0
54076,0
76301,0
15473,0
5415,0
11802,1
