,BP
0,True
1,False
2,True
3,True
4,True
5,True
6,True
7,False
8,False
9,True
10,False
11,False
12,False
13,True
14,False
15,False
16,False
17,True
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,True
26,True
27,True
28,True
29,False
30,False
31,False
32,True
33,False
34,True
35,True
36,False
37,False
38,True
39,False
40,False
41,False
42,False
43,False
44,False
45,True
46,False
47,True
48,False
49,False
50,True
51,False
52,False
53,True
54,True
55,False
56,False
57,False
58,True
59,False
60,False
61,False
62,False
63,True
64,True
65,True
66,True
67,False
68,True
69,False
70,True
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,True
84,False
85,True
86,False
87,False
88,False
89,False
90,True
91,False
92,False
93,False
94,False
95,False
96,True
97,False
98,True
99,False
100,True
101,True
102,False
103,True
104,False
105,True
106,True
107,True
108,True
109,False
110,False
111,False
112,False
113,False
114,True
115,True
116,True
117,True
118,True
119,False
120,True
121,False
122,True
123,True
124,False
125,False
126,False
127,True
128,False
129,False
130,True
131,True
132,True
133,False
134,False
135,True
136,True
137,False
138,False
139,False
140,True
141,False
142,False
143,False
144,False
145,False
146,False
147,False
148,True
149,True
150,True
151,False
152,False
153,True
154,True
155,False
156,False
157,False
158,True
159,True
160,False
161,True
162,False
163,False
164,True
165,True
166,True
167,True
168,False
169,True
170,False
171,True
172,False
173,False
174,True
175,False
176,True
177,True
178,False
179,False
180,False
181,True
182,False
183,True
184,False
185,False
186,True
187,True
188,False
189,False
190,False
191,True
192,True
193,False
194,False
195,True
196,False
197,True
198,False
199,True
200,False
201,False
202,False
203,False
204,True
205,False
206,False
207,False
208,True
209,True
210,False
211,True
212,True
213,False
214,True
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,True
230,False
231,False
232,False
233,True
234,False
235,False
236,False
237,True
238,False
239,False
240,True
241,False
242,False
243,True
244,False
245,True
246,False
247,False
248,True
249,False
250,True
251,True
252,False
253,True
254,True
255,True
256,False
257,True
258,False
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,False
267,False
268,False
269,True
270,True
271,False
272,True
273,False
274,True
275,True
276,False
277,True
278,False
279,True
280,False
281,False
282,False
283,False
284,False
285,False
286,False
287,False
288,True
289,True
290,False
291,False
292,False
293,True
294,True
295,False
296,False
297,True
298,False
299,False
300,False
301,False
302,False
303,False
304,True
305,True
306,False
307,False
308,False
309,False
310,True
311,True
312,False
313,True
314,False
315,True
316,True
317,True
318,False
319,True
320,False
321,False
322,False
323,True
324,True
325,False
326,False
327,True
328,False
329,False
330,False
331,False
332,False
333,False
334,True
335,False
336,True
337,False
338,True
339,False
340,True
341,True
342,True
343,True
344,False
345,True
346,False
347,False
348,False
349,False
350,False
351,True
352,True
353,False
354,True
355,False
356,False
357,True
358,True
359,True
360,True
361,False
362,False
363,False
364,True
365,False
366,False
367,False
368,False
369,True
370,False
371,False
372,True
373,True
374,True
375,True
376,False
377,True
378,True
379,True
380,False
381,False
