,SeriousDlqin2yrs
1,1
2,0
4,0
6,0
8,0
10,0
11,0
12,0
13,0
16,0
18,0
20,0
21,0
22,1
23,0
24,0
25,0
28,0
29,0
30,0
31,0
32,0
35,0
36,0
38,0
39,0
40,0
41,0
43,0
44,0
46,0
47,0
48,0
49,0
50,0
52,1
55,0
56,0
58,0
60,0
61,0
62,0
64,0
65,0
66,0
67,0
69,0
71,0
73,0
75,1
76,0
77,0
78,0
79,0
81,0
82,0
84,0
85,0
86,0
88,0
90,0
94,0
96,0
98,0
99,0
100,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
111,0
112,0
113,0
114,0
115,0
118,0
121,0
122,0
123,0
124,0
127,0
129,0
132,0
136,0
137,0
139,0
141,0
143,0
145,0
146,0
148,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
165,0
169,0
171,0
175,0
176,0
177,0
178,0
181,0
183,0
185,1
187,1
190,0
191,0
194,0
195,0
197,0
198,0
200,0
201,0
203,0
206,0
209,0
210,0
212,0
213,0
214,0
217,0
219,0
221,0
222,0
223,0
225,0
226,0
229,0
230,0
231,0
233,0
234,0
235,0
237,0
238,0
240,0
241,1
242,0
244,0
245,0
246,0
247,0
249,0
250,0
251,0
253,0
254,0
256,0
257,0
258,0
261,0
263,0
265,0
266,0
268,0
270,0
271,0
272,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
288,0
289,0
290,0
291,0
293,0
295,0
298,0
300,0
301,0
302,0
303,0
304,0
305,0
307,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
323,0
325,0
326,0
328,0
330,0
333,0
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
345,1
346,0
349,0
350,0
351,1
353,0
356,0
358,0
360,0
361,0
362,0
363,0
364,0
366,0
367,0
371,0
372,0
374,0
375,0
376,0
377,0
379,0
380,0
381,0
384,0
385,0
386,0
390,0
392,0
393,0
394,0
398,0
400,0
402,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
415,0
418,0
419,0
423,0
425,0
426,0
429,0
431,0
432,0
433,0
434,0
435,0
436,0
439,0
443,0
444,0
446,0
447,0
448,0
449,0
450,0
451,0
453,0
454,0
459,0
461,0
462,0
463,0
465,0
466,0
467,0
468,0
469,1
471,0
472,0
473,0
475,0
476,0
478,0
480,0
481,0
482,0
483,0
485,0
486,0
488,0
490,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
511,0
512,0
513,0
516,0
517,0
520,0
521,1
522,0
523,0
524,0
526,0
528,0
530,0
533,0
534,0
535,0
537,1
540,0
543,0
545,0
549,0
550,0
551,0
552,0
554,0
555,0
557,0
560,0
561,0
564,0
566,0
567,0
568,0
569,0
571,0
572,0
573,1
574,0
575,0
576,0
577,0
579,0
580,0
581,0
582,0
583,0
585,0
586,0
587,0
588,0
590,0
592,0
593,0
594,0
596,0
597,1
598,0
599,0
600,1
601,0
603,0
604,0
605,0
607,0
608,0
609,0
610,0
611,0
613,0
614,0
615,0
618,0
624,0
625,0
626,0
627,0
628,0
631,0
632,0
633,0
634,0
636,0
638,0
639,0
640,0
643,1
646,0
648,0
649,0
654,1
655,1
656,0
657,0
658,0
660,0
665,0
666,0
667,0
670,0
671,0
672,0
674,0
675,0
676,0
677,0
680,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
693,0
694,0
696,0
699,0
701,0
702,0
703,0
704,0
705,0
706,0
708,0
709,0
710,0
712,0
716,0
717,0
718,0
719,0
721,0
722,0
723,0
724,0
725,0
727,0
728,0
729,0
730,0
731,0
733,0
734,0
737,0
738,0
739,0
742,0
744,0
745,0
747,0
748,0
750,0
752,0
753,0
757,0
758,0
759,0
760,0
761,1
763,0
764,0
765,0
770,0
771,0
774,0
775,0
776,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
796,0
799,0
800,0
801,1
802,0
803,0
804,0
807,0
808,0
809,0
810,0
811,0
812,0
816,0
817,0
818,0
819,0
820,0
827,0
828,0
829,0
830,0
832,0
834,0
837,0
839,0
841,0
843,0
844,0
846,0
847,0
849,0
850,0
854,0
856,0
857,1
858,0
860,0
861,0
862,0
865,0
866,0
868,0
870,0
871,0
872,0
873,0
874,0
875,0
877,0
878,0
879,0
882,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
900,0
904,0
905,0
906,0
908,0
909,0
910,0
912,0
913,0
916,0
917,0
919,0
921,0
922,1
923,0
924,0
926,0
927,0
929,0
931,0
933,0
934,0
935,0
936,0
937,0
938,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,0
954,0
956,0
957,0
958,0
960,0
967,0
970,0
975,0
977,0
978,0
979,0
980,0
981,0
982,0
985,0
986,0
988,0
990,0
991,0
993,0
994,0
995,0
999,0
1000,0
1001,0
1002,0
1004,0
1005,0
1006,0
1007,0
1009,0
1010,0
1011,0
1015,0
1017,1
1018,0
1020,0
1021,0
1023,0
1024,0
1026,0
1028,0
1031,0
1032,0
1033,0
1036,0
1038,0
1039,0
1040,0
1041,0
1045,1
1048,0
1049,0
1050,0
1051,0
1056,0
1057,0
1058,0
1062,0
1063,0
1064,0
1065,0
1068,0
1069,0
1070,0
1071,0
1072,0
1074,0
1075,0
1079,0
1080,0
1081,0
1083,0
1085,1
1087,0
1088,0
1089,0
1090,0
1091,0
1093,0
1094,0
1095,0
1096,0
1098,0
1102,0
1103,0
1105,0
1106,0
1107,0
1109,0
1110,0
1112,0
1114,0
1116,0
1118,0
1119,0
1120,0
1122,0
1123,0
1124,0
1125,0
1126,0
1130,0
1131,0
1132,0
1133,0
1134,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1143,0
1145,0
1146,0
1148,0
1149,0
1153,0
1154,1
1155,0
1156,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1179,0
1181,0
1182,0
1184,0
1185,0
1186,0
1188,0
1189,0
1190,0
1193,0
1194,0
1197,0
1198,0
1199,0
1200,0
1201,1
1203,0
1204,0
1205,0
1206,0
1208,0
1209,0
1210,0
1213,0
1214,0
1215,0
1216,0
1217,0
1223,0
1224,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,1
1233,0
1237,0
1238,0
1240,0
1241,0
1243,0
1244,0
1245,0
1246,0
1247,0
1249,0
1253,0
1258,0
1261,1
1263,0
1265,0
1266,0
1267,1
1269,0
1271,0
1273,0
1274,0
1275,0
1277,0
1278,1
1280,0
