,class
64,Good
863,Good
491,Bad
447,Good
899,Bad
924,Bad
20,Good
745,Good
46,Good
766,Bad
263,Good
590,Good
915,Bad
792,Good
350,Good
35,Bad
133,Good
620,Good
157,Good
333,Bad
929,Good
731,Bad
181,Bad
809,Bad
258,Good
585,Bad
913,Good
938,Bad
571,Good
179,Good
52,Good
241,Good
752,Good
516,Good
76,Bad
956,Good
612,Good
18,Bad
358,Good
484,Good
658,Good
301,Bad
85,Good
521,Bad
856,Good
285,Good
37,Bad
337,Bad
535,Bad
724,Bad
325,Good
588,Bad
934,Good
443,Bad
750,Good
79,Good
118,Bad
811,Good
162,Good
242,Bad
622,Bad
440,Good
920,Good
68,Bad
786,Good
420,Good
235,Bad
818,Good
206,Good
380,Good
695,Good
409,Bad
680,Good
471,Bad
725,Good
406,Good
503,Bad
49,Good
105,Bad
711,Bad
944,Good
186,Bad
687,Good
979,Bad
500,Bad
266,Good
12,Good
253,Good
670,Good
991,Good
172,Bad
39,Good
969,Good
332,Bad
984,Good
905,Good
894,Good
592,Good
425,Good
518,Good
