,class
0,Good
1,Bad
3,Good
4,Bad
5,Good
6,Good
7,Good
8,Good
9,Bad
11,Bad
13,Bad
14,Good
15,Bad
16,Good
19,Good
22,Good
23,Good
24,Good
25,Good
26,Good
27,Good
28,Good
29,Bad
30,Good
31,Good
32,Good
33,Good
34,Good
36,Good
41,Good
42,Good
43,Good
44,Bad
45,Good
47,Good
51,Good
53,Good
54,Bad
55,Good
56,Bad
57,Good
58,Good
59,Bad
60,Good
61,Good
63,Bad
65,Good
66,Good
67,Good
69,Good
70,Good
72,Good
73,Good
74,Bad
77,Good
80,Bad
82,Good
83,Good
84,Good
86,Good
87,Bad
88,Good
89,Bad
90,Good
91,Good
92,Bad
93,Good
94,Good
95,Bad
96,Good
97,Good
98,Good
99,Good
100,Good
101,Good
102,Good
103,Good
104,Good
106,Bad
107,Good
108,Good
109,Good
110,Good
111,Good
112,Good
114,Good
115,Good
117,Good
119,Good
120,Bad
121,Good
122,Good
123,Good
125,Good
126,Good
128,Good
129,Bad
130,Good
131,Bad
132,Good
134,Good
135,Good
136,Good
137,Bad
138,Good
139,Good
141,Good
142,Good
143,Bad
144,Good
145,Good
146,Good
147,Good
148,Good
149,Good
150,Good
151,Good
152,Good
153,Good
155,Bad
160,Good
161,Good
163,Good
164,Good
165,Good
166,Bad
168,Good
169,Bad
171,Good
173,Good
174,Bad
175,Bad
176,Good
177,Good
178,Good
180,Bad
182,Bad
183,Good
184,Bad
185,Good
188,Bad
189,Good
190,Bad
191,Bad
192,Bad
194,Bad
195,Bad
196,Good
197,Bad
199,Bad
201,Good
202,Good
203,Bad
204,Good
205,Good
207,Good
208,Good
209,Good
211,Good
212,Bad
213,Bad
214,Good
215,Good
216,Good
217,Good
218,Good
219,Good
220,Good
221,Good
223,Good
224,Good
225,Good
226,Bad
227,Bad
228,Bad
229,Good
230,Bad
231,Good
232,Good
233,Good
234,Good
236,Bad
237,Bad
238,Good
239,Good
240,Bad
244,Good
245,Good
246,Good
247,Good
248,Good
249,Bad
251,Good
252,Bad
254,Good
255,Good
256,Good
257,Bad
259,Good
260,Good
261,Good
262,Good
264,Good
265,Bad
267,Good
268,Bad
269,Good
270,Good
271,Good
272,Good
273,Bad
274,Bad
275,Good
276,Good
277,Good
278,Bad
279,Good
280,Good
281,Good
282,Good
283,Good
284,Good
286,Good
287,Good
288,Good
289,Bad
290,Good
291,Bad
292,Good
295,Bad
296,Good
297,Good
298,Good
299,Good
300,Good
302,Bad
303,Good
305,Good
306,Good
307,Bad
309,Good
310,Good
311,Good
312,Good
314,Good
315,Bad
316,Good
317,Good
319,Good
320,Bad
321,Bad
322,Good
323,Good
324,Good
326,Good
327,Good
328,Good
329,Good
331,Bad
334,Bad
335,Bad
336,Good
339,Good
340,Good
