,class
122,Good
873,Good
568,Good
501,Good
906,Good
926,Good
30,Good
757,Bad
65,Good
783,Bad
320,Bad
643,Good
922,Bad
785,Good
424,Bad
34,Good
239,Good
666,Good
251,Good
395,Good
927,Bad
753,Good
271,Good
796,Bad
319,Good
636,Good
918,Bad
942,Good
635,Good
270,Good
103,Good
311,Good
773,Good
580,Bad
145,Good
958,Bad
654,Good
27,Good
452,Good
558,Bad
693,Good
367,Good
202,Good
583,Bad
862,Bad
351,Bad
45,Good
403,Good
614,Bad
740,Good
385,Good
638,Good
939,Good
497,Good
769,Good
175,Bad
230,Bad
819,Bad
261,Good
312,Good
672,Good
496,Bad
923,Good
141,Good
784,Good
489,Good
310,Good
832,Bad
298,Good
458,Good
717,Good
483,Good
710,Good
523,Good
751,Bad
481,Good
576,Good
97,Good
204,Good
736,Bad
946,Bad
272,Good
713,Good
989,Good
569,Bad
331,Bad
8,Good
317,Good
706,Bad
993,Good
267,Good
55,Good
987,Good
389,Good
990,Good
909,Good
902,Good
644,Good
492,Good
582,Good
