,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
16090,44,Private,10th,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,30
25223,23,Self-emp-inc,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,40
62,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40
4468,24,Private,Assoc-voc,Never-married,Machine-op-inspct,Own-child,White,Female,40
25265,24,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40
27417,60,Federal-gov,Some-college,Widowed,Exec-managerial,Not-in-family,White,Female,40
10789,34,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,40
7570,36,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,40
19420,48,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,15
11915,39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,60
40786,47,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40
30402,17,?,11th,Never-married,?,Own-child,White,Female,30
8316,64,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40
5161,32,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40
12892,27,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,42
43336,70,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40
19273,18,Private,11th,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,20
44289,30,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40
2861,44,Private,1st-4th,Never-married,Machine-op-inspct,Not-in-family,White,Female,40
30966,57,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40
24836,30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
37560,35,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,45
23021,36,Private,Bachelors,Divorced,Sales,Other-relative,Asian-Pac-Islander,Female,40
38602,40,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Male,40
1301,29,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,40
4006,35,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,50
34380,37,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40
24701,48,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,72
19484,47,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,56
659,43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
8964,22,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,30
46926,27,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,50
29877,49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45
2516,25,Private,12th,Married-civ-spouse,Other-service,Wife,White,Female,40
37481,67,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,20
38694,39,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,60
226,60,?,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10
17331,39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
19920,55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
11785,35,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,35
21865,63,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,22
786,61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50
36957,30,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40
