,BP
0,True
1,True
2,False
3,False
4,False
5,True
6,True
7,True
8,True
9,False
10,True
11,False
12,False
13,False
14,False
15,True
16,False
17,False
18,False
19,False
20,True
21,False
22,True
23,False
24,True
25,True
26,False
27,False
28,False
29,False
30,True
31,True
32,True
33,False
34,False
35,True
36,False
37,True
38,False
39,False
40,False
41,False
42,True
43,False
44,True
45,False
46,False
47,True
48,False
49,True
50,False
51,False
52,False
53,False
54,True
55,False
56,False
57,True
58,False
59,True
60,False
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,False
72,False
73,False
74,True
75,False
76,True
77,True
78,False
79,True
80,True
81,True
82,False
83,False
84,False
85,False
86,False
87,True
88,True
89,False
90,True
91,True
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,True
102,True
103,False
104,True
105,False
106,False
107,False
108,False
109,True
110,False
111,False
112,False
113,False
114,False
115,True
116,True
117,True
118,False
119,True
120,True
121,True
122,False
123,False
124,False
125,True
126,False
127,True
128,True
129,True
130,False
131,True
132,False
133,True
134,False
135,True
136,False
137,True
138,True
139,False
140,True
141,False
142,True
143,False
144,True
145,True
146,True
147,False
148,False
149,True
150,True
151,True
152,False
153,False
154,True
155,False
156,False
157,False
158,False
159,False
160,False
161,False
162,False
163,False
164,False
165,True
166,False
167,False
168,False
169,True
170,True
171,False
172,False
173,False
174,False
175,False
176,False
177,True
178,False
179,False
180,False
181,False
182,True
183,False
184,True
185,False
186,False
187,True
188,False
189,False
190,True
191,False
192,False
193,False
194,False
195,False
196,True
197,False
198,False
199,True
200,True
201,False
202,True
203,False
204,False
205,False
206,True
207,True
208,True
209,True
210,True
211,True
212,True
213,False
214,True
215,True
216,False
217,True
218,True
219,False
220,False
221,False
222,True
223,False
224,False
225,True
226,True
227,False
228,False
229,False
230,False
231,True
232,True
233,False
234,True
235,True
236,False
237,False
238,True
239,False
240,True
241,False
242,False
243,True
244,False
245,False
246,False
247,False
248,True
249,False
250,True
251,False
252,True
253,True
254,False
255,True
256,False
257,True
258,True
259,False
260,True
261,False
262,True
263,False
264,True
265,False
266,False
267,True
268,False
269,True
270,True
271,True
272,True
273,False
274,True
275,False
276,False
277,True
278,False
279,True
280,False
281,False
282,False
283,False
284,True
285,True
286,True
287,True
288,False
289,False
290,False
291,False
292,True
293,False
294,False
295,True
296,True
297,False
298,False
299,True
300,False
301,True
302,True
303,False
304,True
305,False
306,False
307,True
308,False
309,False
310,True
311,False
312,False
313,False
314,False
315,True
316,False
317,True
318,True
319,True
320,False
321,True
322,False
323,True
324,True
325,True
326,True
327,False
328,False
329,False
330,False
331,True
332,False
333,True
334,True
335,False
336,True
337,False
338,False
339,False
340,False
341,False
342,False
343,False
344,False
345,True
346,True
347,False
348,False
349,True
350,False
351,False
352,False
353,True
354,False
355,False
356,False
357,False
358,False
359,False
360,True
361,True
362,False
363,True
364,True
365,False
366,True
367,False
368,False
369,False
370,True
371,False
372,False
373,False
374,False
375,True
376,False
377,True
378,False
379,True
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,False
391,True
392,True
393,True
394,False
395,True
396,True
397,False
398,False
399,True
400,False
401,False
402,False
403,True
404,False
405,True
406,False
407,False
408,False
409,False
410,False
411,False
412,False
413,True
414,False
415,True
416,False
417,False
418,False
419,False
420,True
421,False
422,False
423,True
424,False
425,True
426,False
427,True
428,True
429,False
430,False
431,True
432,False
433,True
434,False
435,False
436,True
437,True
438,True
439,False
440,False
441,True
442,True
443,False
444,True
445,False
446,False
447,False
448,True
449,False
450,False
451,False
452,False
453,False
454,False
455,True
456,False
457,True
458,True
459,False
460,True
461,False
462,False
463,False
464,False
465,True
466,True
467,True
468,False
469,False
470,False
471,True
472,True
473,True
474,False
475,False
476,True
477,False
478,False
479,True
480,True
481,False
482,True
483,True
484,True
485,False
486,False
487,True
488,False
489,False
490,False
491,True
492,False
493,False
494,False
495,False
496,True
497,False
498,True
499,False
500,False
501,False
502,False
503,False
504,False
505,True
506,False
507,False
508,False
509,False
510,True
511,False
512,False
513,False
514,False
515,True
516,True
517,False
518,False
519,False
520,True
521,False
522,False
523,False
524,False
525,True
526,True
527,True
528,False
529,True
530,False
531,False
532,True
533,False
534,True
535,False
536,False
537,False
538,True
539,False
540,False
541,False
542,True
543,True
544,False
545,False
546,True
547,False
548,False
549,False
550,False
551,False
552,True
553,False
554,False
555,True
556,False
557,False
558,False
559,True
560,True
561,False
562,True
563,False
564,False
565,False
566,False
567,False
568,False
569,False
570,True
571,False
572,True
573,True
574,True
575,True
576,False
577,False
578,False
579,False
580,True
581,False
582,True
583,False
584,True
585,False
586,False
587,True
588,False
589,False
590,False
591,False
592,True
593,False
594,False
595,False
596,False
597,True
