,BP
0,True
1,False
2,False
3,False
4,False
5,True
6,False
7,False
8,True
9,False
10,True
11,False
12,True
13,True
14,False
15,True
16,False
17,False
18,True
19,True
20,True
21,True
22,False
23,False
24,False
25,False
26,True
27,False
28,False
29,False
30,True
31,False
32,False
33,True
34,False
35,True
36,False
37,False
38,False
39,True
40,False
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,True
49,False
50,False
51,True
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,False
63,True
64,False
65,False
66,True
67,False
68,True
69,False
70,False
71,False
72,False
73,True
74,True
75,False
76,True
77,True
78,False
79,False
80,True
81,False
82,False
83,False
84,True
85,True
86,False
87,True
88,False
89,False
90,True
91,False
92,False
93,False
94,False
95,True
96,True
97,True
98,False
99,False
