,BP
0,True
1,True
2,False
3,False
4,True
5,True
6,True
7,True
8,True
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,True
18,True
19,False
20,False
21,True
22,False
23,False
24,False
25,True
26,False
27,False
28,True
29,True
30,False
31,True
32,False
33,True
34,True
35,False
36,True
37,False
38,False
39,False
40,False
41,True
42,False
43,True
44,True
45,False
46,True
47,False
48,True
49,True
50,False
51,True
52,False
53,False
54,False
55,False
56,True
57,False
58,False
59,True
60,False
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,False
69,True
70,True
71,True
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,True
81,True
82,True
83,True
84,False
85,True
86,False
87,True
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,True
102,False
103,False
104,False
105,True
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,True
114,True
115,False
116,False
117,True
118,True
119,False
120,True
121,False
122,True
123,True
124,False
125,True
126,False
127,True
128,False
129,True
130,True
131,True
132,False
133,False
134,False
135,False
136,False
137,True
138,True
139,True
140,False
141,False
142,True
143,False
144,True
145,False
146,True
147,False
148,False
149,True
150,False
151,False
152,True
153,True
154,True
155,True
156,False
157,False
158,True
159,False
160,True
161,True
162,False
163,False
164,True
165,True
166,False
167,False
168,False
169,True
170,False
171,True
172,False
173,False
174,True
175,False
176,False
177,False
178,True
179,False
180,False
181,True
182,True
183,False
184,True
185,False
186,False
187,False
188,True
189,False
190,True
191,False
192,True
193,False
194,False
195,False
196,False
197,True
198,False
199,False
200,False
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,False
209,False
210,True
211,True
212,False
213,True
214,False
215,False
216,True
217,False
218,False
219,True
220,False
221,False
222,False
223,True
224,False
225,False
226,True
227,False
228,False
229,False
230,True
231,False
232,True
233,True
234,True
235,True
236,True
237,False
238,True
239,False
240,False
241,True
242,False
243,False
244,False
245,False
246,False
247,False
248,False
249,False
250,False
251,True
252,False
253,True
254,True
255,True
256,False
257,False
258,False
259,False
260,False
261,True
262,False
263,False
264,True
265,False
266,True
267,False
268,True
269,True
270,True
271,True
272,False
273,True
274,False
275,False
276,True
277,True
278,False
279,True
280,True
281,False
282,True
283,True
284,False
285,False
286,True
287,False
288,False
289,True
290,True
291,False
292,False
293,True
294,False
295,False
296,False
297,False
298,False
299,False
300,False
301,False
302,True
303,False
304,False
305,False
306,False
307,True
308,True
309,False
310,True
311,False
312,True
313,False
314,True
315,False
316,False
317,True
318,True
319,False
320,True
321,True
322,False
323,False
324,False
325,True
326,False
327,False
328,False
329,True
330,True
331,False
332,True
333,True
334,False
335,False
336,False
337,True
338,False
339,False
340,True
341,True
342,False
343,False
344,True
345,False
346,True
347,False
348,False
349,True
350,False
351,True
352,False
353,False
354,False
355,False
356,False
357,False
358,False
359,True
360,False
361,True
362,True
363,False
364,False
365,False
366,False
367,False
368,False
369,True
370,True
371,True
372,False
373,False
374,True
375,False
376,True
377,True
378,False
379,False
380,False
381,True
382,False
383,False
384,False
385,True
386,False
387,False
388,True
389,True
390,False
391,False
392,True
393,True
394,True
395,True
396,True
397,True
398,False
399,False
400,False
401,False
402,True
403,False
404,False
405,True
406,True
407,True
408,True
409,True
410,False
411,False
412,False
413,True
414,False
415,True
416,True
417,True
418,True
419,False
420,False
421,True
422,False
423,False
424,False
425,True
426,True
427,True
428,False
429,False
430,True
431,True
432,False
433,True
434,False
435,True
436,False
437,False
438,True
439,False
440,True
441,False
442,True
443,False
444,False
445,False
446,False
447,False
448,True
449,False
450,True
451,False
452,False
453,False
454,True
455,True
456,True
457,False
458,False
459,False
460,True
461,False
462,False
463,False
464,False
465,False
466,True
467,False
468,False
469,True
470,True
471,False
472,False
473,True
474,False
475,False
476,False
477,True
478,True
479,True
480,True
481,False
482,False
483,True
484,False
485,False
486,False
487,False
488,False
489,False
490,False
491,True
492,False
493,False
494,False
495,True
496,False
497,False
498,False
499,False
500,False
501,True
502,True
503,False
504,False
505,False
506,True
507,False
508,False
509,False
510,False
511,True
512,False
513,True
514,True
515,False
516,False
517,False
518,True
519,True
520,False
521,False
522,False
523,False
524,True
525,True
526,True
527,True
528,True
529,False
530,False
531,False
532,True
533,True
534,True
535,True
536,False
537,True
538,True
539,False
540,False
541,True
542,True
543,False
544,False
545,False
546,False
547,False
548,True
549,True
550,True
551,True
552,True
553,True
554,False
555,False
556,False
557,False
558,False
559,False
560,False
561,False
562,False
563,True
564,False
565,False
566,False
567,False
568,True
569,True
570,False
571,False
572,True
573,True
574,True
575,True
576,False
577,True
578,True
579,True
580,True
581,True
582,False
583,True
584,False
585,False
586,False
587,False
588,False
589,False
590,False
591,True
592,False
593,True
594,False
595,True
596,False
597,True
