,class
1,Bad
2,Good
4,Bad
5,Good
8,Good
9,Bad
10,Bad
11,Bad
12,Good
13,Bad
14,Good
16,Good
17,Good
18,Bad
19,Good
20,Good
21,Good
23,Good
24,Good
25,Good
27,Good
28,Good
29,Bad
30,Good
31,Good
32,Good
33,Good
34,Good
35,Bad
36,Good
37,Bad
38,Good
39,Good
40,Good
41,Good
42,Good
43,Good
44,Bad
45,Good
46,Good
47,Good
48,Good
49,Good
50,Good
52,Good
53,Good
54,Bad
55,Good
57,Good
58,Good
59,Bad
60,Good
61,Good
62,Bad
64,Good
65,Good
67,Good
68,Bad
69,Good
70,Good
71,Good
72,Good
73,Good
75,Good
76,Bad
77,Good
78,Good
79,Good
80,Bad
81,Good
82,Good
83,Good
84,Good
85,Good
86,Good
87,Bad
88,Good
91,Good
93,Good
94,Good
95,Bad
97,Good
98,Good
99,Good
101,Good
103,Good
105,Bad
106,Bad
108,Good
110,Good
111,Good
113,Bad
114,Good
115,Good
116,Bad
117,Good
118,Bad
119,Good
120,Bad
121,Good
122,Good
123,Good
124,Bad
127,Bad
128,Good
129,Bad
130,Good
131,Bad
133,Good
136,Good
138,Good
139,Good
140,Good
141,Good
142,Good
143,Bad
144,Good
145,Good
146,Good
147,Good
148,Good
149,Good
150,Good
151,Good
152,Good
154,Good
156,Good
157,Good
158,Good
159,Good
160,Good
162,Good
163,Good
164,Good
166,Bad
167,Good
168,Good
169,Bad
170,Bad
172,Bad
174,Bad
175,Bad
176,Good
177,Good
179,Good
180,Bad
181,Bad
182,Bad
183,Good
184,Bad
186,Bad
187,Good
189,Good
191,Bad
192,Bad
193,Good
195,Bad
196,Good
197,Bad
198,Good
199,Bad
200,Good
201,Good
202,Good
203,Bad
204,Good
206,Good
207,Good
209,Good
210,Good
212,Bad
214,Good
215,Good
216,Good
217,Good
219,Good
221,Good
222,Good
226,Bad
227,Bad
228,Bad
230,Bad
231,Good
232,Good
234,Good
235,Bad
236,Bad
239,Good
240,Bad
241,Good
242,Bad
243,Good
244,Good
247,Good
248,Good
249,Bad
250,Good
251,Good
252,Bad
253,Good
254,Good
255,Good
256,Good
257,Bad
258,Good
260,Good
261,Good
262,Good
263,Good
264,Good
265,Bad
266,Good
267,Good
269,Good
270,Good
271,Good
272,Good
273,Bad
274,Bad
275,Good
276,Good
277,Good
278,Bad
279,Good
280,Good
281,Good
282,Good
283,Good
284,Good
285,Good
286,Good
287,Good
288,Good
289,Bad
290,Good
291,Bad
292,Good
293,Good
294,Good
295,Bad
296,Good
297,Good
298,Good
299,Good
300,Good
301,Bad
304,Bad
305,Good
306,Good
307,Bad
308,Bad
310,Good
311,Good
312,Good
313,Bad
314,Good
315,Bad
316,Good
317,Good
318,Good
319,Good
320,Bad
321,Bad
322,Good
323,Good
324,Good
325,Good
326,Good
328,Good
329,Good
330,Good
331,Bad
332,Bad
333,Bad
335,Bad
336,Good
337,Bad
338,Good
340,Good
341,Good
342,Good
345,Good
346,Good
347,Good
348,Good
349,Bad
350,Good
351,Bad
352,Good
356,Good
357,Bad
358,Good
359,Bad
362,Good
363,Good
364,Bad
366,Good
367,Good
368,Bad
370,Good
371,Good
372,Good
373,Good
376,Good
377,Good
378,Bad
380,Good
381,Bad
382,Good
383,Good
384,Good
385,Good
386,Good
387,Good
388,Good
389,Good
393,Good
394,Good
395,Good
396,Good
398,Bad
399,Good
402,Bad
403,Good
405,Bad
406,Good
408,Good
409,Bad
410,Good
411,Good
412,Bad
413,Good
414,Bad
416,Bad
418,Good
420,Good
421,Good
423,Good
424,Bad
425,Good
426,Good
429,Bad
430,Good
431,Bad
432,Good
433,Good
434,Good
435,Bad
436,Good
437,Good
438,Good
440,Good
442,Good
443,Bad
444,Bad
445,Good
446,Bad
447,Good
448,Good
449,Bad
450,Good
452,Good
455,Good
456,Good
457,Bad
458,Good
459,Good
461,Good
462,Good
463,Good
464,Good
465,Good
466,Bad
467,Good
469,Good
470,Bad
471,Bad
472,Bad
474,Bad
477,Good
478,Good
479,Good
480,Good
481,Good
483,Good
484,Good
485,Bad
486,Good
488,Good
489,Good
490,Good
491,Bad
492,Good
494,Good
495,Bad
496,Bad
497,Good
498,Good
500,Bad
501,Good
503,Bad
504,Bad
506,Good
507,Bad
508,Good
509,Good
510,Bad
512,Good
513,Good
514,Good
515,Good
516,Good
517,Bad
518,Good
520,Good
521,Bad
522,Bad
523,Good
524,Good
525,Good
526,Good
527,Good
528,Bad
529,Good
531,Bad
534,Good
535,Bad
536,Good
537,Good
538,Bad
539,Good
540,Bad
541,Good
543,Bad
544,Good
545,Bad
547,Good
548,Bad
550,Good
551,Good
552,Bad
553,Good
554,Good
555,Bad
556,Bad
557,Bad
558,Bad
559,Bad
560,Good
562,Good
563,Bad
565,Good
568,Good
569,Bad
570,Bad
571,Good
573,Good
574,Good
575,Good
576,Good
578,Bad
579,Good
580,Bad
581,Good
582,Good
583,Bad
584,Good
585,Bad
586,Good
587,Good
588,Bad
589,Bad
590,Good
591,Good
592,Good
593,Bad
594,Bad
595,Bad
596,Bad
598,Bad
599,Good
600,Good
601,Bad
602,Bad
604,Good
606,Good
607,Bad
608,Good
610,Bad
611,Bad
612,Good
614,Bad
615,Good
616,Good
617,Good
620,Good
621,Bad
622,Bad
623,Good
624,Bad
628,Good
629,Good
630,Good
633,Bad
635,Good
636,Good
637,Good
638,Good
639,Bad
641,Good
643,Good
644,Good
645,Bad
648,Bad
649,Bad
650,Good
651,Bad
653,Bad
654,Good
655,Good
657,Good
658,Good
659,Good
660,Good
662,Good
663,Good
665,Good
666,Good
667,Good
668,Bad
669,Good
670,Good
672,Good
673,Good
674,Bad
675,Good
677,Bad
678,Good
679,Good
680,Good
682,Good
684,Good
686,Good
687,Good
688,Good
690,Good
693,Good
694,Good
695,Good
696,Good
697,Good
698,Good
699,Good
700,Bad
701,Bad
703,Good
705,Good
706,Bad
707,Bad
709,Good
710,Good
711,Bad
712,Good
713,Good
714,Bad
715,Good
716,Good
717,Good
718,Good
719,Good
720,Bad
722,Bad
723,Good
724,Bad
725,Good
726,Good
727,Bad
728,Bad
730,Good
731,Bad
734,Good
735,Good
736,Bad
738,Good
739,Bad
740,Good
743,Good
744,Good
745,Good
746,Good
747,Bad
748,Good
749,Good
750,Good
751,Bad
752,Good
753,Good
754,Bad
755,Bad
756,Good
757,Bad
760,Good
763,Bad
764,Good
765,Good
766,Bad
767,Good
769,Good
770,Good
771,Bad
772,Good
773,Good
774,Good
776,Good
777,Good
778,Good
779,Good
780,Bad
782,Good
783,Bad
784,Good
785,Good
786,Good
787,Good
788,Bad
789,Bad
790,Bad
791,Good
792,Good
793,Good
794,Good
795,Good
796,Bad
797,Good
798,Good
800,Good
802,Good
804,Good
805,Bad
806,Good
807,Good
808,Good
809,Bad
810,Good
811,Good
814,Bad
816,Good
817,Good
818,Good
819,Bad
821,Good
823,Good
824,Good
826,Bad
827,Bad
828,Bad
832,Bad
833,Good
834,Bad
835,Bad
837,Good
838,Good
839,Good
840,Bad
841,Good
842,Bad
843,Good
844,Good
845,Good
846,Bad
847,Good
848,Good
849,Bad
850,Bad
852,Good
853,Bad
854,Good
856,Good
857,Good
859,Good
860,Good
861,Bad
862,Bad
863,Good
864,Bad
865,Good
866,Good
867,Good
868,Good
869,Good
870,Good
871,Good
872,Good
873,Good
874,Good
875,Good
876,Good
879,Good
880,Good
881,Good
882,Good
883,Good
884,Bad
886,Good
888,Good
889,Good
890,Good
893,Good
894,Good
895,Good
896,Good
897,Good
899,Bad
900,Bad
901,Good
902,Good
903,Good
904,Good
905,Good
906,Good
909,Good
910,Good
911,Bad
913,Good
914,Bad
915,Bad
916,Good
917,Bad
918,Bad
920,Good
922,Bad
923,Good
924,Bad
925,Bad
926,Good
927,Bad
928,Good
929,Good
930,Good
931,Bad
932,Good
933,Good
934,Good
935,Bad
936,Bad
937,Good
938,Bad
939,Good
940,Good
941,Good
942,Good
943,Good
944,Good
945,Good
946,Bad
947,Good
949,Bad
952,Bad
953,Bad
954,Good
955,Good
956,Good
957,Good
958,Bad
959,Good
960,Good
961,Good
962,Good
963,Bad
964,Good
965,Good
966,Bad
968,Good
969,Good
971,Good
972,Bad
973,Bad
974,Good
975,Good
976,Good
977,Good
978,Bad
979,Bad
980,Bad
981,Bad
982,Good
983,Bad
984,Good
986,Good
987,Good
989,Good
990,Good
991,Good
992,Good
993,Good
994,Good
995,Good
996,Good
998,Bad
999,Good
