,class
84,Good
846,Bad
544,Good
472,Bad
869,Good
896,Good
32,Good
719,Good
57,Good
755,Bad
277,Good
610,Bad
882,Good
763,Bad
373,Good
41,Good
143,Bad
633,Bad
152,Good
328,Good
897,Good
714,Bad
192,Bad
779,Good
275,Good
606,Good
872,Good
910,Good
600,Good
184,Bad
80,Bad
257,Bad
749,Good
555,Bad
94,Good
935,Bad
629,Good
28,Good
387,Good
543,Bad
660,Good
292,Good
115,Good
560,Good
841,Good
286,Good
42,Good
335,Bad
589,Bad
707,Bad
321,Bad
607,Bad
901,Good
461,Good
739,Bad
98,Good
130,Good
782,Good
177,Good
260,Good
637,Good
459,Good
888,Good
86,Good
756,Good
442,Good
256,Good
802,Good
227,Bad
398,Bad
696,Good
430,Good
684,Good
510,Bad
709,Good
423,Good
551,Good
70,Good
119,Good
699,Good
930,Good
197,Bad
690,Good
962,Good
550,Good
280,Good
19,Good
273,Bad
677,Bad
976,Good
183,Good
47,Good
961,Good
324,Good
966,Bad
870,Good
861,Bad
611,Bad
444,Bad
559,Bad
