,Problem1
0,1
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,1
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,1
431,0
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,0
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,1
644,0
645,0
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,0
656,0
657,1
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,1
666,1
667,1
668,0
669,0
670,1
671,0
672,0
673,0
674,0
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,0
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,0
734,1
735,1
736,0
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,1
757,1
758,1
759,1
760,0
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,1
782,1
783,0
784,1
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,0
801,1
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,1
811,1
