,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
85260,0.954091816,28,1,0.48285599,2478.0,3,0,1,0,0.0
934,0.610408703,41,1,0.064417178,2933.0,7,0,0,0,2.0
82706,0.796407186,29,1,0.128723183,4800.0,4,0,0,0,1.0
71840,0.646620028,59,0,0.419516097,5000.0,9,0,1,0,2.0
83545,0.682241716,56,0,0.548290342,5000.0,8,0,2,0,0.0
64388,0.05012191,39,0,0.353612167,7100.0,4,0,1,0,2.0
148944,0.007940009,43,0,0.312389381,5649.0,5,0,0,0,5.0
64837,0.677122813,27,0,0.314946619,2247.0,4,0,0,0,3.0
74485,0.416652942,35,0,0.376032459,6900.0,6,0,2,0,0.0
39624,0.024031483,66,0,0.005386876,4083.0,2,0,0,0,0.0
38228,0.0,62,0,0.0,3499.0,3,0,0,0,0.0
82411,0.649449419,59,0,1.117735622,6641.0,12,0,2,0,0.0
79616,0.527246734,42,0,0.261062784,10575.0,6,0,0,0,3.0
125604,0.0,73,0,0.197901486,3430.0,11,0,0,0,0.0
120219,0.432384033,66,2,0.642022289,3678.0,15,0,1,0,0.0
117938,0.62168016,71,0,1.528494301,5000.0,27,0,2,0,0.0
103130,0.175929628,25,0,0.015776699,823.0,1,0,0,0,0.0
6413,0.07805562,61,0,0.212513884,2700.0,7,0,1,0,1.0
58409,0.050734989,60,0,0.097978227,4500.0,6,0,0,0,0.0
43873,0.0,48,0,0.292169501,14583.0,7,0,2,0,2.0
50342,0.412412172,47,0,0.324774018,12500.0,11,0,3,0,1.0
63352,0.363388093,58,0,0.577819678,5833.0,12,0,1,0,1.0
120691,0.0,53,0,0.229628014,9166.0,9,0,1,0,2.0
80579,0.059773506,46,0,0.269493318,10400.0,6,0,2,0,2.0
89390,0.183793563,53,0,0.118680377,2333.0,10,0,0,0,0.0
14273,0.932510545,38,0,0.336598506,8166.0,8,0,1,0,1.0
124512,0.788007571,65,0,0.382504288,4663.0,9,0,1,0,1.0
16338,0.004281873,32,0,0.275473934,3375.0,3,0,1,0,0.0
82428,0.323053149,56,1,0.411620931,9000.0,16,0,1,0,2.0
8726,0.008653608,47,0,0.002570694,3500.0,4,0,0,0,2.0
2080,0.401824962,42,0,0.3843717,10416.0,7,0,2,0,4.0
72525,0.200935823,69,0,0.329471602,10616.0,16,0,3,0,0.0
76373,0.0,55,0,0.825497878,6125.0,14,0,3,0,1.0
44162,0.143195227,54,0,0.122412159,32700.0,7,0,1,0,2.0
50037,0.207916833,38,2,0.282031044,3800.0,7,1,0,1,1.0
137175,0.588659766,62,0,1.73855359,3843.0,12,0,3,0,0.0
129153,0.003285636,49,0,0.44957932,8200.0,17,0,3,0,1.0
147611,0.881546372,43,4,0.814891914,6244.0,10,0,2,0,1.0
30400,0.009718643,57,1,0.170515541,8010.0,17,0,1,0,0.0
149266,0.236475626,74,0,0.152655945,8207.0,8,0,1,0,0.0
44994,0.046879062,65,0,0.023989034,2917.0,12,0,0,0,0.0
49423,0.002090814,53,0,0.321884632,9083.0,9,0,1,0,2.0
87382,0.021535148,44,0,0.603561387,3200.0,6,0,2,0,2.0
22858,0.467695417,50,0,0.236787811,6300.0,5,0,1,0,0.0
40903,0.055408507,58,1,0.214016482,15652.0,14,0,3,0,0.0
41652,0.110564141,70,0,0.189819724,6600.0,10,0,1,0,0.0
41439,0.889250427,36,0,0.241347485,6500.0,6,0,0,0,1.0
100244,0.011674047,79,0,0.077640786,3000.0,28,0,0,0,0.0
61793,0.639063773,32,0,0.284216831,3338.0,14,0,0,0,0.0
52645,0.996801279,45,0,0.239951279,820.0,4,0,0,0,0.0
72963,0.107048342,50,0,0.653052542,9401.0,16,0,1,0,1.0
15906,0.9999999,45,1,0.033570702,2948.0,3,1,0,1,2.0
5243,0.157489883,81,0,0.431251922,3250.0,18,0,1,0,0.0
5668,0.322834196,42,0,0.245435354,27000.0,9,0,1,0,2.0
60899,0.235976518,61,0,0.202084691,7674.0,17,1,1,0,0.0
2948,0.352920416,55,0,0.656079988,6800.0,6,0,2,0,1.0
74051,0.958286906,36,4,0.214771364,7500.0,9,0,0,0,0.0
92799,0.0,25,0,0.0,1280.0,1,0,0,0,1.0
62710,0.002720103,48,0,0.332876243,5833.0,12,0,2,0,0.0
108354,0.70643119,28,2,0.232255915,3000.0,4,0,0,1,0.0
133858,0.007645218,69,0,0.169547208,7000.0,12,0,1,1,0.0
18227,0.069672715,71,0,0.478877781,3100.0,12,0,1,0,0.0
48858,0.018807495,49,4,0.310032092,7166.0,11,0,2,2,2.0
58799,0.160694644,44,0,0.027686983,5200.0,4,0,0,0,1.0
113104,0.9999999,23,0,0.0,770.0,0,1,0,0,0.0
11695,0.052206562,76,0,0.127464593,3600.0,5,0,0,0,1.0
128752,0.268752732,43,0,0.32790224,5400.0,7,0,1,0,0.0
137631,0.019161476,51,0,0.587655074,9833.0,6,0,3,0,0.0
55126,0.220965928,31,0,0.258776897,1765.0,6,0,0,0,0.0
98532,0.016226075,74,0,0.004161609,5766.0,13,0,0,0,2.0
67473,0.063410454,40,0,0.357142857,2855.0,2,0,1,0,1.0
35343,0.199954803,59,0,0.746662527,3220.0,14,0,1,0,0.0
132187,0.003903201,51,1,0.007248188,4000.0,4,0,0,0,2.0
31868,0.012740627,60,0,0.087610704,10500.0,7,0,1,0,0.0
143408,0.235300348,66,2,0.615639001,9373.0,21,0,8,0,0.0
125036,0.841413978,46,1,0.481799719,6400.0,11,0,2,1,2.0
52668,0.026098695,72,0,0.009997369,3800.0,7,0,0,0,0.0
111698,0.323779147,36,0,0.138025954,5085.0,13,0,0,0,1.0
10671,0.167627168,60,0,0.406575395,10371.0,7,0,1,0,0.0
32299,0.291524512,52,0,0.43258095,16923.0,12,0,2,0,2.0
83369,0.283259583,40,0,0.274735114,6700.0,6,0,2,0,2.0
45680,0.163578733,52,0,0.02736266,4750.0,2,0,0,0,2.0
11668,0.879677639,43,0,0.191707772,7500.0,3,0,0,0,2.0
118381,0.626672548,39,1,0.516138246,3500.0,8,0,2,0,4.0
115335,0.014119718,47,0,0.296814741,7000.0,11,0,2,0,3.0
97781,0.076348633,63,0,0.47805965,5833.0,11,0,2,0,3.0
147436,0.169913395,36,0,0.262017248,13334.0,13,0,2,0,2.0
63632,0.073933793,54,0,0.169535733,3833.0,10,0,1,0,0.0
82627,0.044101829,49,0,0.468616815,5161.0,12,0,2,0,0.0
61517,0.460961587,47,0,0.31427429,2500.0,3,0,0,0,0.0
129601,0.125262025,33,0,0.724219676,2530.0,7,0,1,0,2.0
104658,0.263982401,43,0,0.244918361,3000.0,6,0,0,0,0.0
113922,0.050559935,80,0,0.083958021,2000.0,10,0,1,0,0.0
8285,0.0,26,0,0.010598032,1320.0,3,0,0,0,0.0
63376,0.587382602,71,0,1.248636859,916.0,4,0,0,0,0.0
53609,0.314819155,49,4,0.438703141,5921.0,12,0,1,0,2.0
75900,0.224320871,45,0,0.544829741,3200.0,4,0,1,0,0.0
15582,0.168402753,64,0,0.226367203,13000.0,11,0,1,0,0.0
5321,0.909942042,48,2,0.400789177,3547.0,8,2,1,0,1.0
11842,0.394884093,59,0,0.538724652,4092.0,14,0,2,0,0.0
