,SeriousDlqin2yrs
85260,0
934,0
82706,0
71840,0
83545,0
64388,0
148944,0
64837,0
74485,0
39624,0
38228,0
82411,0
79616,0
125604,0
120219,0
117938,0
103130,0
6413,0
58409,0
43873,0
50342,0
63352,0
120691,0
80579,0
89390,0
14273,0
124512,0
16338,0
82428,0
8726,0
2080,0
72525,0
76373,0
44162,0
50037,1
137175,0
129153,0
147611,1
30400,0
149266,0
44994,0
49423,0
87382,0
22858,0
40903,0
41652,0
41439,0
100244,0
61793,0
52645,0
72963,0
15906,0
5243,0
5668,0
60899,0
2948,0
74051,0
92799,0
62710,0
108354,1
133858,0
18227,0
48858,1
58799,0
113104,0
11695,0
128752,0
137631,0
55126,0
98532,0
67473,0
35343,0
132187,0
31868,0
143408,0
125036,0
52668,0
111698,0
10671,0
32299,0
83369,0
45680,0
11668,0
118381,1
115335,0
97781,0
147436,0
63632,0
82627,0
61517,0
129601,0
104658,0
113922,0
8285,1
63376,0
53609,0
75900,0
15582,0
5321,0
11842,0
