,BP
0,True
1,True
2,False
3,True
4,False
5,False
6,True
7,False
8,False
9,False
10,False
11,True
12,False
13,True
14,True
15,True
16,True
17,True
18,False
19,True
20,False
21,False
22,False
23,False
24,True
25,True
26,False
27,True
28,False
29,False
30,False
31,False
32,True
33,True
34,True
35,False
36,True
37,True
38,True
39,False
40,True
41,True
42,False
43,False
44,False
45,True
46,True
47,True
48,True
49,False
50,True
51,False
52,False
53,True
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,True
63,False
64,False
65,True
66,True
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,True
82,False
83,False
84,False
85,False
86,False
87,False
88,True
89,False
90,False
91,False
92,False
93,True
94,True
95,False
96,True
97,False
98,False
99,False
100,False
101,True
102,False
103,False
104,True
105,False
106,False
107,False
108,True
109,True
110,True
111,True
112,True
113,True
114,True
115,False
116,False
117,True
118,True
119,False
120,True
121,False
122,False
123,False
124,True
125,False
126,False
127,False
128,False
129,False
130,True
131,False
132,False
133,False
134,True
135,True
136,False
137,True
138,True
139,False
140,True
141,False
142,True
143,True
144,True
145,False
146,True
147,False
148,True
149,False
150,True
151,True
152,True
153,False
154,True
155,True
156,True
157,False
158,False
159,False
160,False
161,True
162,True
163,True
164,False
165,True
166,False
167,True
168,False
169,False
170,True
171,True
172,False
173,False
174,True
175,False
176,False
177,False
178,False
179,True
180,True
181,False
182,False
183,True
184,True
185,False
186,False
187,False
188,False
189,True
190,False
191,False
192,True
193,False
194,False
195,False
196,False
197,False
198,True
199,True
200,True
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,True
209,True
210,True
211,True
212,False
213,True
214,True
215,False
216,False
217,True
218,False
219,False
220,False
221,False
222,True
223,True
224,False
225,False
226,True
227,False
228,False
229,True
230,False
231,True
232,True
233,True
234,False
235,False
236,True
237,False
238,False
239,False
240,False
241,False
242,True
243,False
244,True
245,True
246,False
247,False
248,True
249,True
250,False
251,False
252,True
253,False
254,True
255,True
256,False
257,False
258,True
259,True
260,False
261,True
262,False
263,False
264,False
265,False
266,True
267,False
268,True
269,False
270,True
271,True
272,False
273,False
274,False
275,False
276,False
277,True
278,False
279,False
280,False
281,False
282,False
283,False
284,True
285,True
286,True
287,False
288,True
289,False
290,False
291,True
292,True
293,False
294,False
295,False
296,True
297,True
298,True
299,False
300,True
301,True
302,True
303,True
304,False
305,False
306,True
307,False
308,False
309,True
310,True
311,False
312,False
313,False
314,False
315,True
316,False
317,False
318,True
319,True
320,False
321,False
322,False
323,False
324,True
325,True
326,False
327,False
328,False
329,True
330,True
331,False
332,False
333,False
334,False
335,False
336,False
337,False
338,False
339,False
340,True
341,False
342,True
343,False
344,True
345,True
346,True
347,False
348,True
349,True
350,False
351,False
352,False
353,True
354,False
355,True
356,False
357,False
358,True
359,True
360,False
361,False
362,False
363,True
364,True
365,True
366,True
367,True
368,False
369,False
370,True
371,False
372,True
373,False
374,True
375,False
376,True
377,True
378,False
379,False
380,False
381,False
382,True
383,False
384,False
385,True
386,False
387,False
388,True
389,True
390,True
391,False
392,True
393,True
394,True
395,False
396,False
397,False
398,True
399,False
400,False
401,False
402,False
403,False
404,True
405,False
406,False
407,False
408,False
409,True
410,False
411,False
412,False
413,False
414,False
415,True
416,False
417,True
418,False
419,False
420,False
421,True
422,False
423,False
424,False
425,False
426,False
427,False
428,False
429,False
430,False
431,False
432,True
433,False
434,False
435,True
436,False
437,False
438,False
439,False
440,False
441,False
442,False
443,False
444,False
445,False
446,False
447,True
448,True
449,True
450,True
451,True
452,False
453,False
454,True
455,False
456,True
457,True
458,False
459,False
460,True
461,False
462,True
463,True
464,True
465,True
466,False
467,False
468,True
469,True
470,True
471,False
472,True
473,True
474,True
475,False
476,False
477,True
478,False
479,True
480,True
481,False
482,False
483,True
484,False
485,False
486,False
487,False
488,True
489,True
490,True
491,True
492,True
493,False
494,True
495,False
496,True
497,False
498,False
499,False
500,True
501,False
502,True
503,False
504,False
505,False
506,True
507,False
508,True
509,False
510,True
511,True
512,False
513,False
514,False
515,False
516,True
517,True
518,False
519,False
520,False
521,True
522,True
523,True
524,True
525,False
526,False
527,False
528,False
529,False
530,True
531,True
532,True
533,False
534,False
535,True
536,True
537,False
538,False
539,True
540,True
541,False
542,True
543,False
544,False
545,False
546,False
547,True
548,False
549,True
550,False
551,False
552,False
553,False
554,False
555,False
556,True
557,False
558,True
559,True
560,False
561,False
562,True
563,False
564,True
565,False
566,True
567,False
568,False
569,False
570,False
571,False
572,False
573,False
574,True
575,True
576,False
577,False
578,False
579,False
580,False
581,True
582,True
583,False
584,False
585,False
586,True
587,True
588,False
589,True
590,True
591,False
592,True
593,False
594,True
595,False
596,False
597,False
