,BP
0,False
1,False
2,False
3,True
4,False
5,True
6,True
7,False
8,True
9,False
10,True
11,True
12,False
13,False
14,True
15,False
16,True
17,False
18,True
19,False
20,True
21,False
22,True
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,True
31,False
32,False
33,False
34,True
35,False
36,False
37,False
38,False
39,True
40,True
41,False
42,True
43,False
44,True
45,True
46,False
47,False
48,True
49,False
50,False
51,False
52,True
53,False
54,False
55,False
56,True
57,True
58,True
59,True
60,True
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,True
72,False
73,True
74,True
75,False
76,True
77,True
78,False
79,True
80,False
81,False
82,True
83,False
84,True
85,False
86,False
87,False
88,False
89,False
90,True
91,False
92,False
93,False
94,True
95,False
96,False
97,False
98,False
99,True
