,income
39120,<=50K
44066,<=50K
49,<=50K
4514,<=50K
5401,<=50K
21343,<=50K
30447,<=50K
34417,<=50K
14775,<=50K
35624,<=50K
24675,<=50K
22483,<=50K
15392,<=50K
8279,>50K
25700,<=50K
21364,<=50K
38050,<=50K
11798,>50K
2911,<=50K
17170,<=50K
40222,<=50K
48435,>50K
16898,<=50K
19486,>50K
1257,>50K
3988,>50K
27947,<=50K
22579,<=50K
29037,<=50K
636,<=50K
25256,<=50K
46953,>50K
43571,<=50K
2510,<=50K
37355,<=50K
35650,<=50K
161,<=50K
20683,>50K
26241,<=50K
11904,>50K
35005,<=50K
810,<=50K
40636,>50K
37766,>50K
2732,<=50K
44664,>50K
20446,<=50K
22205,<=50K
44571,<=50K
11731,<=50K
12729,<=50K
21730,<=50K
17215,<=50K
11209,<=50K
612,<=50K
10317,>50K
43471,<=50K
30949,<=50K
24838,<=50K
31921,<=50K
22939,<=50K
32802,<=50K
25109,<=50K
36699,>50K
14605,<=50K
7383,>50K
37329,<=50K
20699,>50K
4321,<=50K
19610,<=50K
37977,<=50K
8444,<=50K
42634,>50K
3092,<=50K
11393,<=50K
23843,<=50K
22180,<=50K
14963,<=50K
33615,<=50K
45225,<=50K
14935,<=50K
7172,<=50K
29122,<=50K
39669,<=50K
32243,<=50K
35493,<=50K
44785,>50K
39134,<=50K
12168,<=50K
44143,>50K
45555,<=50K
5159,<=50K
12882,>50K
30796,<=50K
7866,<=50K
40031,<=50K
9339,<=50K
38828,<=50K
27483,<=50K
9448,<=50K
