,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
39120,40,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,40
44066,35,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
49,29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43
4514,37,Federal-gov,Bachelors,Divorced,Exec-managerial,Other-relative,White,Female,50
5401,25,Private,HS-grad,Never-married,Transport-moving,Other-relative,White,Male,40
21343,79,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40
30447,66,State-gov,HS-grad,Widowed,Prof-specialty,Unmarried,Black,Female,35
34417,24,Self-emp-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,70
14775,42,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,40
35624,47,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40
24675,47,Self-emp-inc,Assoc-acdm,Widowed,Exec-managerial,Not-in-family,White,Female,67
22483,26,Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,35
15392,46,Local-gov,Masters,Widowed,Exec-managerial,Unmarried,Black,Female,35
8279,36,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50
25700,27,Private,Prof-school,Never-married,Prof-specialty,Own-child,White,Female,40
21364,49,Private,HS-grad,Separated,Sales,Unmarried,White,Male,50
38050,30,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40
11798,59,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50
2911,24,Private,Some-college,Never-married,Sales,Own-child,White,Female,40
17170,40,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,30
40222,68,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,15
48435,36,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50
16898,27,Private,Bachelors,Never-married,Sales,Own-child,White,Male,40
19486,47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,56
1257,57,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50
3988,52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
27947,60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40
22579,42,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40
29037,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40
636,21,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40
25256,58,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,Female,40
46953,49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,60
43571,46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60
2510,42,Private,HS-grad,Divorced,Protective-serv,Not-in-family,Black,Male,35
37355,22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,20
35650,24,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,60
161,25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40
20683,41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40
26241,42,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,30
11904,57,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45
35005,23,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,38
810,30,Private,HS-grad,Separated,Other-service,Own-child,White,Female,36
40636,31,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40
37766,47,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,45
2732,25,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,48
44664,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,50
20446,34,Private,Some-college,Never-married,Handlers-cleaners,Other-relative,White,Male,20
22205,38,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40
44571,19,Private,Some-college,Never-married,Sales,Own-child,White,Female,18
11731,90,?,HS-grad,Widowed,?,Not-in-family,White,Male,4
12729,25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50
21730,17,Private,10th,Never-married,Other-service,Own-child,White,Male,25
17215,43,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,60
11209,37,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40
612,24,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50
10317,46,Private,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,70
43471,63,Private,HS-grad,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,40
30949,24,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Other,Female,40
24838,31,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40
31921,25,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40
22939,50,State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40
32802,55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60
25109,35,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,50
36699,38,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,70
